,SearchTerm,BusinessName,UBINumber,BusinessId,Address,address_match,ubi_match,id_match,IsMatch,Agent,EntityType,PrincipalID,PrincipalName
0,1201 TAB OWNER LLC,"1201 TAB OWNER, LLC",603 244 928,2220,"1201 3RD AVE, SEATTLE, WA, 98101, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Entity,1171314,METLIFE 1201 TAB MEMBER LLC
1,1201 TAB OWNER LLC,"1201 TAB OWNER, LLC",603 244 928,2220,"1201 3RD AVE, SEATTLE, WA, 98101, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Entity,1727996,"METLIFE 1201 TAB MANAGER, LLC"
2,ALASKA TRADE BLDG LLC,"ALASKA TRADE BLDG, LLC",604 377 193,1256606,"8451 SE 68TH ST STE 200, MERCER ISLAND, WA, 98040-5240, UNITED STATES",False,False,False,,AZOSE COMMERCIAL PROPERTIES INC,Individual,2776655,GEORGE E BONINI
3,ALASKA TRADE BLDG LLC,"ALASKA TRADE BLDG, LLC",604 377 193,1256606,"8451 SE 68TH ST STE 200, MERCER ISLAND, WA, 98040-5240, UNITED STATES",False,False,False,,AZOSE COMMERCIAL PROPERTIES INC,Entity,3049002,AZOSE INVESTMENTS LLC
4,HUDSON 1099 STEWART STREET LLC,"HUDSON 1099 STEWART STREET, LLC",604 037 980,155001,"11601 WILSHIRE BOULEVARD, NINTH FLOOR, LOS ANGELES, CA, 90025, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Entity,2942610,"HUDSON 1099 STEWART REIT, LLC"
5,1301 6TH AVENUE (WA) OWNER LLC,"1301 6TH AVENUE (WA) OWNER, LLC",604 552 088,1328666,"4700 WILSHIRE BLVD, LOS ANGELES, CA, 90010-3853, UNITED STATES",False,False,False,,PARACORP INCORPORATED,Entity,3048137,"1301 6TH AVENUE VENTURE, LLC"
6,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,2881306,DARIK AFSHANI
7,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904375,MARK D CARLSON
8,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904376,BRIAN BILL
9,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904377,STEPHANIE CHRISMAN
10,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904378,MEGHAN CONCANNON
11,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904379,MEGHAN FINNERAN
12,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904380,ALBERT J JEHLE
13,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904381,MATTHEW JERRY
14,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904382,ELIZABETH KIRLEY
15,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904383,WILLIAM DAVID NIX JR
16,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904384,SOLLIE A RASO
17,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904385,JOEL SASSER
18,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,,C T CORPORATION SYSTEM,Individual,3904386,BREANNA STAGGS
